
cycle,sequence,elapsed_seconds,uptime_seconds,mem_available_kb,pagefrag_allocinfo_bytes,records,scoped_records,allocations,scoped_allocations,unscoped_allocations,head_fragment_releases,tracked_pages,tracked_backing_bytes,tracked_aligned_bytes,tracked_slack_bytes,single_ring_pages,cross_ring_pages,ring_unscoped_pages,unscoped_only_pages,history_cross_lifetime_pages,history_same_ring_pages,unscoped_current,global_idr_remove_unmatched,ring_count,actual_idr_total,ring_allocations,ring_posts,ring_reaps,ring_fragment_releases,ring_untracked_removes,allocated_current,posted_current,reaped_current,posted_unique_pages_sum_not_physical,posted_backing_sum_not_physical,critical_failures,nmissed_total,scope_context_mismatches
cycle1,1,0,37813,71296,98369536,1602,862,1604,862,742,2,133,4358144,4006400,351744,40,31,20,42,0,40,740,857,5,11262,862,862,0,0,857,0,862,0,141,4620288,0,0,862
cycle1,2,13,37826,66084,102662144,4216,3196,7881,4138,3743,3665,430,14090240,10662400,3427840,196,122,31,81,59,137,1020,3191,5,11262,4138,4138,942,942,3191,0,3196,0,547,17924096,0,0,4138
cycle1,3,25,37838,60276,107282432,4987,3967,13650,7109,6541,8663,604,19791872,12636160,7155712,305,173,34,92,147,158,1020,3962,5,11262,7109,7109,3142,3142,3962,0,3967,0,767,25133056,0,0,7109
cycle1,4,38,37851,55484,110329856,5251,4231,18942,9845,9097,13691,724,23724032,13312000,10412032,400,208,32,84,235,165,1020,4226,5,11262,9845,9845,5614,5614,4226,0,4231,0,919,30113792,0,0,9845
cycle1,5,50,37864,51180,114032640,5534,4514,24028,12481,11547,18494,859,28147712,14036480,14111232,495,242,38,84,332,163,1020,4509,5,11262,12481,12481,7967,7967,4509,0,4514,0,1086,35586048,0,0,12481
cycle1,6,63,37876,50416,117342208,5854,4834,29768,15453,14315,23914,985,32276480,14855680,17420800,593,279,38,75,432,161,1020,4829,5,11262,15453,15453,10619,10619,4829,0,4834,0,1256,41156608,0,0,15453
cycle1,7,76,37889,48012,119930880,6181,5161,35480,18344,17136,29299,1127,36929536,15692800,21236736,673,333,40,81,515,158,1020,5156,5,11262,18344,18344,13183,13183,5156,0,5161,0,1444,47316992,0,0,18344
cycle1,8,88,37902,44800,123371520,6401,5381,41062,21182,19880,34661,1259,41254912,16256000,24998912,767,364,28,100,607,160,1020,5376,5,11262,21182,21182,15801,15801,5376,0,5381,0,1587,52002816,0,0,21182
cycle1,9,101,37914,39384,126418944,6695,5675,46943,24199,22744,40248,1369,44859392,17008640,27850752,865,395,23,86,701,164,1020,5670,5,11262,24199,24199,18524,18524,5670,0,5675,0,1748,57278464,0,0,24199
cycle1,10,114,37927,38176,129826816,6915,5895,52174,26854,25320,45259,1493,48922624,17571840,31350784,940,425,33,95,774,166,1020,5890,5,11262,26854,26854,20959,20959,5890,0,5895,0,1894,62062592,0,0,26854
cycle1,11,126,37940,33788,132874240,7281,6261,58143,29962,28181,50862,1624,53215232,18508800,34706432,1040,466,43,75,878,162,1020,6256,5,11262,29962,29962,23701,23701,6256,0,6261,0,2084,68288512,0,0,29962
cycle1,12,139,37952,29968,135430144,7700,6680,64168,33103,31065,56468,1789,58621952,19581440,39040512,1156,508,51,74,988,168,1020,6675,5,11262,33103,33103,26423,26423,6675,0,6680,0,2274,74514432,0,0,33103
cycle2,1,0,38010,68804,97419264,1054,527,1056,527,529,2,87,2850816,2630784,220032,27,16,15,29,0,27,527,523,4,10238,527,527,0,0,523,0,527,0,86,2818048,0,0,527
cycle2,2,13,38023,64744,100728832,2973,1953,4994,2565,2429,2021,303,9928704,7480320,2448384,105,73,41,84,23,82,1020,1948,5,11262,2565,2565,612,612,1948,0,1953,0,338,11075584,0,0,2565
cycle2,3,25,38035,61684,103841792,4365,3345,10579,5418,5161,6214,480,15728640,11043840,4684800,222,152,33,73,102,120,1020,3339,6,15357,5418,5418,2073,2073,3339,0,3345,0,633,20742144,0,0,5418
cycle2,4,37,38047,58220,109019136,5244,4224,16750,8568,8182,11506,711,23298048,13294080,10003968,393,200,36,82,233,160,1020,4218,6,15357,8568,8568,4344,4344,4218,0,4224,0,892,29229056,0,0,8568
