cycle,kind,radio_index,actual_idr,tracked_posted,allocations,reaps,releases,posted_unique_pages,posted_aligned_bytes,posted_backing_bytes
cycle1,3,0,1024,1024,6254,5230,5230,108,2621440,3538944
cycle1,1,0,4095,2680,2680,0,0,1335,6860800,43745280
cycle1,3,1,1024,1024,15581,14557,14557,87,2621440,2850816
cycle1,3,2,1024,1024,7660,6636,6636,89,2621440,2916352
cycle1,1,1,4095,928,928,0,0,655,2375680,21463040
cycle2,3,1,1024,1024,17233,16209,16209,87,2621440,2850816
cycle2,3,0,1024,1024,7090,6066,6066,109,2621440,3571712
cycle2,1,1,4095,955,955,0,0,656,2444800,21495808
cycle2,1,0,4095,2953,2953,0,0,1491,7559680,48857088
cycle2,3,2,1024,1024,8131,7107,7107,87,2621440,2850816
cycle2,1,2,4095,111,111,0,0,53,284160,1736704
